activation,batch_size,epochs,learning_rate,neurons,optimizer,Mean,Std
tanh,10,20,0.2,32,rmsprop,0.5114136338233948,0.023871623475177038
tanh,10,20,0.2,32,adam,0.5032736857732137,0.02787752011299102
tanh,10,20,0.2,32,sgd,0.5647999246915182,0.005688697772911139
tanh,10,20,0.3,8,rmsprop,0.42052937547365826,0.08832006958973615
tanh,10,20,0.3,8,adam,0.5388799508412679,0.014126643368697258
tanh,10,20,0.3,8,sgd,0.5501022736231486,0.010196479891544255
tanh,10,20,0.3,16,rmsprop,0.3269225060939789,0.07273009445192014
tanh,10,20,0.3,16,adam,0.501345137755076,0.019214774804934914
tanh,10,20,0.3,16,sgd,0.5628641843795776,0.0103245087675661
tanh,10,20,0.3,32,rmsprop,0.47076592842737836,0.051053545943733625
tanh,10,20,0.3,32,adam,0.38182953000068665,0.09188117863932888
tanh,10,20,0.3,32,sgd,0.5562930305798849,0.016154279021073092
tanh,20,5,0.001,8,rmsprop,0.4615009129047394,0.03221358009247807
tanh,20,5,0.001,8,adam,0.4858749906222026,0.015818518528685
tanh,20,5,0.001,8,sgd,0.34933434923489887,0.058270952470302916
tanh,20,5,0.001,16,rmsprop,0.5025101701418558,0.01710674886564125
tanh,20,5,0.001,16,adam,0.5005807181199392,0.0029579311816452917
tanh,20,5,0.001,16,sgd,0.36906267205874127,0.02527762874992751
tanh,20,5,0.001,32,rmsprop,0.5257277488708496,0.0055031399643563975
tanh,20,5,0.001,32,adam,0.5280438860257467,0.005987829110596279
tanh,20,5,0.001,32,sgd,0.39535226424535114,0.010571332576302774
tanh,20,5,0.01,8,rmsprop,0.5740838050842285,0.005060511838342399
tanh,20,5,0.01,8,adam,0.5733077128728231,0.0066379078426707875
tanh,20,5,0.01,8,sgd,0.4085206389427185,0.029173800568494626
tanh,20,5,0.01,16,rmsprop,0.5628655354181925,0.012513597318130282
tanh,20,5,0.01,16,adam,0.5779548287391663,0.011740052289017176
tanh,20,5,0.01,16,sgd,0.42088688413302106,0.01000795111498017
tanh,20,5,0.01,32,rmsprop,0.5651915470759074,0.014460579982204905
tanh,20,5,0.01,32,adam,0.565957764784495,0.006184464555375444
tanh,20,5,0.01,32,sgd,0.464997798204422,0.025315950092297243
tanh,20,5,0.1,8,rmsprop,0.4762088855107625,0.01657621261851129
tanh,20,5,0.1,8,adam,0.5315210223197937,0.012983166597387042
tanh,20,5,0.1,8,sgd,0.5431322852770487,0.002590060420769648
tanh,20,5,0.1,16,rmsprop,0.4576402207215627,0.05635911515823056
tanh,20,5,0.1,16,adam,0.5392635067303976,0.006728899741858504
tanh,20,5,0.1,16,sgd,0.543522576491038,0.007024553508492586
tanh,20,5,0.1,32,rmsprop,0.5067553122838339,0.027355886053178336
tanh,20,5,0.1,32,adam,0.5400508244832357,0.029174754374050732
tanh,20,5,0.1,32,sgd,0.5512601137161255,0.007721741806862212
tanh,20,5,0.2,8,rmsprop,0.4584324856599172,0.04334307932731592
tanh,20,5,0.2,8,adam,0.5582269628842672,0.015130484843181287
tanh,20,5,0.2,8,sgd,0.555117666721344,0.015350502174536824
tanh,20,5,0.2,16,rmsprop,0.43288708726565045,0.08998996582741992
tanh,20,5,0.2,16,adam,0.497120201587677,0.0420501049448461
tanh,20,5,0.2,16,sgd,0.5667374531428019,0.01652646595782552
tanh,20,5,0.2,32,rmsprop,0.4591919481754303,0.07148026486645423
tanh,20,5,0.2,32,adam,0.5315268437067667,0.0032132424006514723
tanh,20,5,0.2,32,sgd,0.5288208921750387,0.01145048923690523
tanh,20,5,0.3,8,rmsprop,0.3771855632464091,0.019630212011535222
tanh,20,5,0.3,8,adam,0.4340094526608785,0.06098496665991872
tanh,20,5,0.3,8,sgd,0.544296403725942,0.009176419886012858
tanh,20,5,0.3,16,rmsprop,0.4038223326206207,0.09226308980677407
tanh,20,5,0.3,16,adam,0.4765978256861369,0.00891080939959566
tanh,20,5,0.3,16,sgd,0.5443053841590881,0.022682778058557753
tanh,20,5,0.3,32,rmsprop,0.3733131984869639,0.06476580375789033
tanh,20,5,0.3,32,adam,0.24835777779420218,0.01096616642710631
tanh,20,5,0.3,32,sgd,0.5261072516441345,0.019286949814677126
tanh,20,10,0.001,8,rmsprop,0.5233990152676901,0.01163829688622538
tanh,20,10,0.001,8,adam,0.5218531092007955,0.013260343412726226
tanh,20,10,0.001,8,sgd,0.38452831904093426,0.018445240124351555
tanh,20,10,0.001,16,rmsprop,0.5396502017974854,0.003134950135643347
tanh,20,10,0.001,16,adam,0.5454582969347636,0.011698896709070011
tanh,20,10,0.001,16,sgd,0.44410940011342365,0.045568985737662125
tanh,20,10,0.001,32,rmsprop,0.5605431000391642,0.008514370352259968
