activation,batch_size,epochs,learning_rate,neurons,optimizer,Mean,Std
tanh,10,10,0.001,32,adam,0.5055311818917593,0.020517982407124824
tanh,10,10,0.001,32,sgd,0.2585405608018239,0.01610197500014498
tanh,10,10,0.01,8,rmsprop,0.5266518990198771,0.023284182180698353
tanh,10,10,0.01,8,adam,0.5261574685573578,0.031412216404310085
tanh,10,10,0.01,8,sgd,0.28419677416483563,0.02197240638061165
tanh,10,10,0.01,16,rmsprop,0.520114411910375,0.023880686275207327
tanh,10,10,0.01,16,adam,0.5251428186893463,0.03224337995718645
tanh,10,10,0.01,16,sgd,0.37065795560677844,0.098085066274867
tanh,10,10,0.01,32,rmsprop,0.525158017873764,0.028296814159779686
tanh,10,10,0.01,32,adam,0.5266579588254293,0.02173631880591357
tanh,10,10,0.01,32,sgd,0.39285329977671307,0.05936030392513737
tanh,10,10,0.1,8,rmsprop,0.4964882433414459,0.018026904722527402
tanh,10,10,0.1,8,adam,0.528677374124527,0.023399679834956583
tanh,10,10,0.1,8,sgd,0.4854084253311157,0.019922627134728685
tanh,10,10,0.1,16,rmsprop,0.4959968825181325,0.047299425759212144
tanh,10,10,0.1,16,adam,0.4703338146209717,0.027756698519467868
tanh,10,10,0.1,16,sgd,0.49496400356292725,0.017982322401917848
tanh,10,10,0.1,32,rmsprop,0.4824039737383525,0.023385954249589433
tanh,10,10,0.1,32,adam,0.5301864246527354,0.02456983143525416
tanh,10,10,0.1,32,sgd,0.5100575983524323,0.022509075057746613
tanh,10,10,0.2,8,rmsprop,0.4924706816673279,0.02271668934084518
tanh,10,10,0.2,8,adam,0.4949814776579539,0.03761399898509965
tanh,10,10,0.2,8,sgd,0.5130787392457327,0.02709587219374354
tanh,10,10,0.2,16,rmsprop,0.4250500202178955,0.07266073529593602
tanh,10,10,0.2,16,adam,0.43363120158513385,0.06353315652723408
tanh,10,10,0.2,16,sgd,0.5135799944400787,0.024108497609640005
tanh,10,10,0.2,32,rmsprop,0.45876870552698773,0.05706848335604923
tanh,10,10,0.2,32,adam,0.4698166350523631,0.03954027309579585
tanh,10,10,0.2,32,sgd,0.5155978898207346,0.02656259136094962
tanh,10,10,0.3,8,rmsprop,0.4532344837983449,0.03898134778073685
tanh,10,10,0.3,8,adam,0.39032503962516785,0.07416045675063429
tanh,10,10,0.3,8,sgd,0.5211244920889536,0.026057618660297082
tanh,10,10,0.3,16,rmsprop,0.41702476143836975,0.03448509633373758
tanh,10,10,0.3,16,adam,0.4507153530915578,0.07131315072701604
tanh,10,10,0.3,16,sgd,0.5221315522988638,0.032068015084372854
tanh,10,10,0.3,32,rmsprop,0.41147003571192425,0.01610147173295907
tanh,10,10,0.3,32,adam,0.46176934242248535,0.01978693122080103
tanh,10,10,0.3,32,sgd,0.514593114455541,0.029983668776432097
tanh,10,20,0.001,8,rmsprop,0.513573149840037,0.022933489613045515
tanh,10,20,0.001,8,adam,0.5065306425094604,0.029109288794044164
tanh,10,20,0.001,8,sgd,0.22986091673374176,0.08118350018493545
tanh,10,20,0.001,16,rmsprop,0.52061794201533,0.022473574190631614
tanh,10,20,0.001,16,adam,0.5155933201313019,0.029558458634950054
tanh,10,20,0.001,16,sgd,0.22691495219866434,0.07641331089732717
tanh,10,20,0.001,32,rmsprop,0.5226419071356455,0.029000321568526343
