,activation,batch_size,epochs,learning_rate,neurons,optimizer,Mean,Std
66,tanh,10,10,0.1,32,rmsprop,0.7884990374247233,0.020960825496407834
67,tanh,10,10,0.1,32,adam,0.8060428897539774,0.006008203647564595
68,tanh,10,10,0.1,32,sgd,0.8162768085797628,0.008959436566950817
69,tanh,10,10,0.1,64,rmsprop,0.8075048724810282,0.0030041114929739744
70,tanh,10,10,0.1,64,adam,0.7729044755299886,0.012424518640305204
71,tanh,10,10,0.1,64,sgd,0.81725146373113,0.006646283875270943
72,tanh,10,10,0.2,8,rmsprop,0.7860623598098755,0.0325016265441153
73,tanh,10,10,0.2,8,adam,0.8109161853790283,0.020858611881169428
74,tanh,10,10,0.2,8,sgd,0.8157894810040792,0.010609899699563224
75,tanh,10,10,0.2,32,rmsprop,0.7953216433525085,0.022774515796011658
76,tanh,10,10,0.2,32,adam,0.7729044755299886,0.028206223936516287
77,tanh,10,10,0.2,32,sgd,0.8094541827837626,0.01589620049567602
78,tanh,10,10,0.2,64,rmsprop,0.7592592636744181,0.02030473930826113
79,tanh,10,10,0.2,64,adam,0.8114035129547119,0.004303960612004785
80,tanh,10,10,0.2,64,sgd,0.8118908405303955,0.009574516258814862
81,tanh,10,10,0.3,8,rmsprop,0.7875243624051412,0.04059195414879528
82,tanh,10,10,0.3,8,adam,0.7821637590726217,0.013557925761237967
83,tanh,10,10,0.3,8,sgd,0.8162767887115479,0.01083144495017153
84,tanh,10,10,0.3,32,rmsprop,0.7816764116287231,0.009648641903731324
85,tanh,10,10,0.3,32,adam,0.7041910290718079,0.1310599183169078
86,tanh,10,10,0.3,32,sgd,0.8060428698857626,0.009648619826813806
87,tanh,10,10,0.3,64,rmsprop,0.7046783566474915,0.074096526403284
88,tanh,10,10,0.3,64,adam,0.719298243522644,0.06407225167959851
89,tanh,10,10,0.3,64,sgd,0.814814825852712,0.008468876638991856
90,tanh,10,20,0.001,8,rmsprop,0.8133528232574463,0.0045192900192244576
91,tanh,10,20,0.001,8,adam,0.8177387913068136,0.0065744334672970875
92,tanh,10,20,0.001,8,sgd,0.5877193013827006,0.10081008303108263
93,tanh,10,20,0.001,32,rmsprop,0.8187134464581808,0.010940530040064352
94,tanh,10,20,0.001,32,adam,0.81725146373113,0.007827665903204698
95,tanh,10,20,0.001,32,sgd,0.7368420958518982,0.021913574140775074
96,tanh,10,20,0.001,64,rmsprop,0.8167641361554464,0.011091414260787592
97,tanh,10,20,0.001,64,adam,0.8133528431256613,0.00612563951203435
98,tanh,10,20,0.001,64,sgd,0.7256335218747457,0.018505692271862394
99,tanh,10,20,0.01,8,rmsprop,0.8148148059844971,0.008959457100031057
100,tanh,10,20,0.01,8,adam,0.8123781482378641,0.0065744334672970875
